station,cape,lifted_index,sweat_index,k_index,pwat,storm_probability,forecast,created_at
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 16:47:51.531128
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:47:57.576964
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 16:48:02.304993
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 16:48:06.342381
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 16:48:06.561614
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:48:11.240630
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 16:48:13.353846
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 16:48:15.793356
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 16:54:36.532944
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:39.154202
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:43.230285
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 16:54:45.681983
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 16:54:45.813331
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 16:54:45.827855
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:48.494654
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:48.532083
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:51.030037
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 16:54:51.047232
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 16:54:54.143722
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 16:54:54.154258
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 16:59:46.539889
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 16:59:52.182192
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:04:46.952262
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:04:49.564488
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:04:52.477923
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:04:55.048876
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:04:58.163871
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:09:49.636395
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:09:55.274628
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:09:57.920150
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:10:00.822254
