date,time,station,station_code,showalter,li,li_virtual,sweat,k_index,cross_totals,vertical_totals,tt_index,cape,cape_virtual,cin,cin_virtual,brn,brn_virtual,pwat,observed,thunderstorm,lightning,squall,rainfall,nwx,season,raw_observed_event,observation_status,source_file,source_sheet,source_trace
2023-03-01,00:00Z,Visakhapatnam,43150,7.05,6.49,6.12,76.41,-16.1,11.7,25.7,37.4,0.0,0.0,0.0,0.0,0.0,0.0,18.35,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230301/0000
2023-03-02,00:00Z,Visakhapatnam,43150,7.7,10.12,9.81,82.99,-1.1,9.9,25.9,35.8,0.0,0.0,0.0,0.0,0.0,0.0,15.73,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230302/0000
2023-03-03,00:00Z,Visakhapatnam,43150,7.03,7.33,7.0,65.8,20.5,10.1,27.1,37.2,0.0,0.0,0.0,0.0,0.0,0.0,19.53,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230303/0000
2023-03-04,00:00Z,Visakhapatnam,43150,4.86,7.56,7.27,82.79,-6.7,13.9,26.9,40.8,0.0,0.0,0.0,0.0,0.0,0.0,19.25,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230304/0000
2023-03-05,00:00Z,Visakhapatnam,43150,5.39,5.99,5.65,58.2,11.3,11.7,28.7,40.4,0.0,0.0,0.0,0.0,0.0,0.0,17.2,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230305/0000
2023-03-06,00:00Z,Visakhapatnam,43150,4.82,0.83,0.55,37.78,16.3,11.9,29.9,41.8,0.0,0.0,0.0,0.0,0.0,0.0,21.19,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230306/0000
2023-03-07,00:00Z,Visakhapatnam,43150,5.67,-1.46,-2.05,57.38,22.7,11.5,28.5,40.0,308.76,409.08,-237.69,-162.44,61.74,81.8,27.87,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230307/0000
2023-03-08,00:00Z,Visakhapatnam,43150,5.03,-3.79,-4.31,66.78,21.1,12.7,28.7,41.4,830.37,982.42,-183.13,-119.96,324.17,383.54,29.37,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230308/0000
2023-03-09,00:00Z,Visakhapatnam,43150,4.95,0.85,0.37,81.8,21.9,13.5,27.5,41.0,27.02,42.76,-427.88,-206.87,12.38,19.58,26.63,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230309/0000
2023-03-10,00:00Z,Visakhapatnam,43150,2.07,-3.39,-3.68,129.41,16.5,17.3,28.3,45.6,1031.44,1156.4,-181.08,-114.26,148.76,166.79,31.46,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230310/0000
2023-03-11,00:00Z,Visakhapatnam,43150,3.75,-1.36,-1.59,101.18,23.5,14.9,28.9,43.8,127.06,161.25,-359.41,-245.18,12.86,16.32,26.63,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230311/0000
2023-03-12,00:00Z,Visakhapatnam,43150,9.62,0.24,-0.37,44.02,14.3,4.1,28.1,32.2,218.19,308.75,-337.79,-229.05,1804.29,2553.16,20.52,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230312/0000
2023-03-13,00:00Z,Visakhapatnam,43150,6.59,5.52,5.12,35.78,8.5,9.1,29.1,38.2,0.0,0.0,0.0,0.0,0.0,0.0,16.28,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230313/0000
2023-03-14,00:00Z,Visakhapatnam,43150,6.52,3.3,2.87,17.99,18.1,8.7,29.7,38.4,0.0,0.0,0.0,0.0,0.0,0.0,18.76,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230314/0000
2023-03-15,00:00Z,Visakhapatnam,43150,5.01,-5.34,-6.1,47.41,19.9,10.7,30.7,41.4,1768.96,1942.93,-227.64,-139.58,13928.8,15298.64,28.53,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230315/0000
2023-03-16,00:00Z,Visakhapatnam,43150,4.01,-5.89,-6.34,81.81,21.9,13.5,29.5,43.0,2256.93,2422.38,-106.14,-41.1,52513.34,56362.94,36.12,LT,False,True,False,True,False,Pre-Monsoon,LT:1900-2130 | DZ:1935-2200,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230316/0000
2023-03-17,00:00Z,Visakhapatnam,43150,0.76,-1.37,-1.54,156.99,28.3,19.3,27.3,46.6,497.49,546.31,-208.07,-167.58,182.23,200.11,42.42,RA,False,False,False,True,False,Pre-Monsoon,DZ:0800-1400,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230317/0000
2023-03-18,00:00Z,Visakhapatnam,43150,0.6,-1.74,-2.14,197.2,28.6,21.0,24.5,45.5,762.36,858.85,-41.01,-28.53,16.81,18.94,42.45,TSRA,True,True,False,True,False,Pre-Monsoon,DZ:1400-1445 | TS:1605-1840 | RA:1635-2140,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230318/0000
2023-03-20,00:00Z,Visakhapatnam,43150,-2.46,-4.57,-5.22,367.7,28.9,23.9,26.9,50.8,1121.3,1270.25,-27.8,-18.82,32.52,36.84,39.78,TSRA,True,True,False,True,False,Pre-Monsoon,RA:0525-0550 | TS:1655-2200 | RA:1725-2310,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230320/0000
2023-03-21,00:00Z,Visakhapatnam,43150,-1.54,-5.04,-5.8,315.3,35.1,21.7,27.7,49.4,1392.44,1570.93,-49.74,-30.19,87.17,98.34,41.85,TSRA,True,True,False,True,False,Pre-Monsoon,TS:1730-0020 | DZ:2215-0020,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230321/0000
